year,teamId,team,classification,conference,division,expectedWins,total,conferenceGames,homeGames,awayGames,neutralSiteGames,regularSeason,postseason
2005,52,Florida State,fbs,ACC,Atlantic,,"{'games': 13, 'wins': 8, 'losses': 5, 'ties': 0}","{'games': 9, 'wins': 6, 'losses': 3, 'ties': 0}","{'games': 7, 'wins': 6, 'losses': 1, 'ties': 0}","{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 12, 'wins': 8, 'losses': 4, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,55,Jacksonville State,fcs,OVC,,,"{'games': 11, 'wins': 6, 'losses': 5, 'ties': 0}","{'games': 8, 'wins': 6, 'losses': 2, 'ties': 0}","{'games': 6, 'wins': 2, 'losses': 4, 'ties': 0}","{'games': 3, 'wins': 3, 'losses': 0, 'ties': 0}","{'games': 2, 'wins': 1, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 6, 'losses': 5, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,57,Florida,fbs,SEC,East,,"{'games': 12, 'wins': 9, 'losses': 3, 'ties': 0}","{'games': 8, 'wins': 5, 'losses': 3, 'ties': 0}","{'games': 7, 'wins': 7, 'losses': 0, 'ties': 0}","{'games': 4, 'wins': 1, 'losses': 3, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 8, 'losses': 3, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}"
2005,58,South Florida,fbs,Big East,,,"{'games': 12, 'wins': 6, 'losses': 6, 'ties': 0}","{'games': 7, 'wins': 4, 'losses': 3, 'ties': 0}","{'games': 5, 'wins': 4, 'losses': 1, 'ties': 0}","{'games': 6, 'wins': 2, 'losses': 4, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 6, 'losses': 5, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,59,Georgia Tech,fbs,ACC,Coastal,,"{'games': 12, 'wins': 7, 'losses': 5, 'ties': 0}","{'games': 8, 'wins': 5, 'losses': 3, 'ties': 0}","{'games': 6, 'wins': 4, 'losses': 2, 'ties': 0}","{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 7, 'losses': 4, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,61,Georgia,fbs,SEC,East,,"{'games': 13, 'wins': 10, 'losses': 3, 'ties': 0}","{'games': 9, 'wins': 7, 'losses': 2, 'ties': 0}","{'games': 6, 'wins': 5, 'losses': 1, 'ties': 0}","{'games': 6, 'wins': 5, 'losses': 1, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 12, 'wins': 10, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,62,Hawai'i,fbs,Western Athletic,,,"{'games': 12, 'wins': 5, 'losses': 7, 'ties': 0}","{'games': 8, 'wins': 4, 'losses': 4, 'ties': 0}","{'games': 7, 'wins': 3, 'losses': 4, 'ties': 0}","{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 12, 'wins': 5, 'losses': 7, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,66,Iowa State,fbs,Big 12,North,,"{'games': 12, 'wins': 7, 'losses': 5, 'ties': 0}","{'games': 8, 'wins': 4, 'losses': 4, 'ties': 0}","{'games': 6, 'wins': 5, 'losses': 1, 'ties': 0}","{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 7, 'losses': 4, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,68,Boise State,fbs,Western Athletic,,,"{'games': 13, 'wins': 9, 'losses': 4, 'ties': 0}","{'games': 8, 'wins': 7, 'losses': 1, 'ties': 0}","{'games': 6, 'wins': 6, 'losses': 0, 'ties': 0}","{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 12, 'wins': 9, 'losses': 3, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,70,Idaho,fbs,Western Athletic,,,"{'games': 11, 'wins': 2, 'losses': 9, 'ties': 0}","{'games': 8, 'wins': 2, 'losses': 6, 'ties': 0}","{'games': 4, 'wins': 1, 'losses': 3, 'ties': 0}","{'games': 7, 'wins': 1, 'losses': 6, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 2, 'losses': 9, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,77,Northwestern,fbs,Big Ten,,,"{'games': 12, 'wins': 7, 'losses': 5, 'ties': 0}","{'games': 10, 'wins': 5, 'losses': 5, 'ties': 0}","{'games': 6, 'wins': 4, 'losses': 2, 'ties': 0}","{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 7, 'losses': 4, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,79,Southern Illinois,fcs,MVFC,,,"{'games': 13, 'wins': 9, 'losses': 4, 'ties': 0}","{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 7, 'wins': 4, 'losses': 3, 'ties': 0}","{'games': 6, 'wins': 5, 'losses': 1, 'ties': 0}","{'games': 13, 'wins': 9, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,84,Indiana,fbs,Big Ten,,,"{'games': 11, 'wins': 4, 'losses': 7, 'ties': 0}","{'games': 8, 'wins': 1, 'losses': 7, 'ties': 0}","{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}","{'games': 5, 'wins': 1, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 4, 'losses': 7, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,87,Notre Dame,fbs,FBS Independents,,,"{'games': 12, 'wins': 9, 'losses': 3, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 6, 'wins': 4, 'losses': 2, 'ties': 0}","{'games': 5, 'wins': 5, 'losses': 0, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 9, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,93,Murray State,fcs,OVC,,,"{'games': 11, 'wins': 2, 'losses': 9, 'ties': 0}","{'games': 7, 'wins': 0, 'losses': 7, 'ties': 0}","{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}","{'games': 5, 'wins': 0, 'losses': 5, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 2, 'losses': 9, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,96,Kentucky,fbs,SEC,East,,"{'games': 11, 'wins': 3, 'losses': 8, 'ties': 0}","{'games': 8, 'wins': 2, 'losses': 6, 'ties': 0}","{'games': 6, 'wins': 2, 'losses': 4, 'ties': 0}","{'games': 5, 'wins': 1, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 3, 'losses': 8, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,97,Louisville,fbs,Big East,,,"{'games': 12, 'wins': 9, 'losses': 3, 'ties': 0}","{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}","{'games': 6, 'wins': 6, 'losses': 0, 'ties': 0}","{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 9, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,98,Western Kentucky,fcs,MVFC,,,"{'games': 11, 'wins': 6, 'losses': 5, 'ties': 0}","{'games': 7, 'wins': 4, 'losses': 3, 'ties': 0}","{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 6, 'losses': 5, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,99,LSU,fbs,SEC,West,,"{'games': 13, 'wins': 11, 'losses': 2, 'ties': 0}","{'games': 9, 'wins': 7, 'losses': 2, 'ties': 0}","{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}","{'games': 5, 'wins': 5, 'losses': 0, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}","{'games': 12, 'wins': 10, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}"
2005,103,Boston College,fbs,ACC,Atlantic,,"{'games': 12, 'wins': 9, 'losses': 3, 'ties': 0}","{'games': 8, 'wins': 5, 'losses': 3, 'ties': 0}","{'games': 6, 'wins': 5, 'losses': 1, 'ties': 0}","{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 8, 'losses': 3, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}"
2005,107,Holy Cross,fcs,Patriot,,,"{'games': 11, 'wins': 6, 'losses': 5, 'ties': 0}","{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}","{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}","{'games': 3, 'wins': 3, 'losses': 0, 'ties': 0}","{'games': 2, 'wins': 0, 'losses': 2, 'ties': 0}","{'games': 11, 'wins': 6, 'losses': 5, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,108,Harvard,fcs,Ivy,,,"{'games': 10, 'wins': 7, 'losses': 3, 'ties': 0}","{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}","{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 5, 'wins': 4, 'losses': 1, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 10, 'wins': 7, 'losses': 3, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,111,Northeastern,fcs,Atlantic 10,North,,"{'games': 11, 'wins': 2, 'losses': 9, 'ties': 0}","{'games': 7, 'wins': 1, 'losses': 6, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 5, 'wins': 1, 'losses': 4, 'ties': 0}","{'games': 6, 'wins': 1, 'losses': 5, 'ties': 0}","{'games': 11, 'wins': 2, 'losses': 9, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,113,Massachusetts,fcs,Atlantic 10,North,,"{'games': 10, 'wins': 6, 'losses': 4, 'ties': 0}","{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 3, 'wins': 1, 'losses': 2, 'ties': 0}","{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}","{'games': 10, 'wins': 6, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,119,Towson,fcs,Atlantic 10,South,,"{'games': 11, 'wins': 7, 'losses': 4, 'ties': 0}","{'games': 7, 'wins': 3, 'losses': 4, 'ties': 0}","{'games': 6, 'wins': 4, 'losses': 2, 'ties': 0}","{'games': 4, 'wins': 2, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 7, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,120,Maryland,fbs,ACC,Atlantic,,"{'games': 11, 'wins': 5, 'losses': 6, 'ties': 0}","{'games': 8, 'wins': 3, 'losses': 5, 'ties': 0}","{'games': 5, 'wins': 1, 'losses': 4, 'ties': 0}","{'games': 6, 'wins': 4, 'losses': 2, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 5, 'losses': 6, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,127,Michigan State,fbs,Big Ten,,,"{'games': 11, 'wins': 5, 'losses': 6, 'ties': 0}","{'games': 8, 'wins': 2, 'losses': 6, 'ties': 0}","{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}","{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 5, 'losses': 6, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,130,Michigan,fbs,Big Ten,,,"{'games': 12, 'wins': 7, 'losses': 5, 'ties': 0}","{'games': 8, 'wins': 5, 'losses': 3, 'ties': 0}","{'games': 7, 'wins': 4, 'losses': 3, 'ties': 0}","{'games': 4, 'wins': 3, 'losses': 1, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 7, 'losses': 4, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,135,Minnesota,fbs,Big Ten,,,"{'games': 12, 'wins': 7, 'losses': 5, 'ties': 0}","{'games': 9, 'wins': 5, 'losses': 4, 'ties': 0}","{'games': 6, 'wins': 4, 'losses': 2, 'ties': 0}","{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 7, 'losses': 4, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,142,Missouri,fbs,Big 12,North,,"{'games': 12, 'wins': 7, 'losses': 5, 'ties': 0}","{'games': 8, 'wins': 4, 'losses': 4, 'ties': 0}","{'games': 6, 'wins': 4, 'losses': 2, 'ties': 0}","{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 6, 'losses': 5, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}"
2005,145,Ole Miss,fbs,SEC,West,,"{'games': 11, 'wins': 3, 'losses': 8, 'ties': 0}","{'games': 8, 'wins': 1, 'losses': 7, 'ties': 0}","{'games': 6, 'wins': 2, 'losses': 4, 'ties': 0}","{'games': 5, 'wins': 1, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 3, 'losses': 8, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,147,Montana State,fcs,Big Sky,,,"{'games': 11, 'wins': 7, 'losses': 4, 'ties': 0}","{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}","{'games': 6, 'wins': 6, 'losses': 0, 'ties': 0}","{'games': 4, 'wins': 1, 'losses': 3, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 7, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,149,Montana,fcs,Big Sky,,,"{'games': 12, 'wins': 8, 'losses': 4, 'ties': 0}","{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}","{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}","{'games': 4, 'wins': 2, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}","{'games': 12, 'wins': 8, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,150,Duke,fbs,ACC,Coastal,,"{'games': 11, 'wins': 1, 'losses': 10, 'ties': 0}","{'games': 8, 'wins': 0, 'losses': 8, 'ties': 0}","{'games': 6, 'wins': 1, 'losses': 5, 'ties': 0}","{'games': 5, 'wins': 0, 'losses': 5, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 1, 'losses': 10, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
